District,Projected Winner,Probability,$\P_{538}(R)$,$\P_{538}(D)$
Florida-14,{\color{Blue} Castor (D)},1.0,,1.0
Florida-15,{\color{Blue} Carlson (D)},0.5555602700586681,0.58226,0.41774
Florida-16,{\color{Red} Buchanan (R)},0.9990997563117917,0.85918,0.14082
Florida-17,{\color{Red} Steube (R)},0.9564565527614592,0.9983999999999998,0.0016
Florida-18,{\color{Red} Mast (R)},0.9962824228766914,0.9099,0.0901
Florida-19,{\color{Red} Rooney (R)},0.9999986262950885,0.9908,0.0092
Florida-20,{\color{Blue} Hastings (D)},1.0,,1.0
Florida-21,{\color{Blue} Frankel (D)},1.0,,1.0
Florida-22,{\color{Blue} Deutch (D)},0.9999999920104242,0.00037999999999999997,0.9996199999999998
Florida-23,{\color{Blue} Schultz (D)},0.9999705661750159,0.00028,0.99972
Florida-24,{\color{Blue} Wilson (D)},1.0,,1.0
Florida-25,{\color{Red} Diaz-Balart (R)},0.9998405782069659,0.72852,0.27148
Florida-26,{\color{Red} Curbelo (R)},0.6235909864401374,0.44183999999999996,0.55816
Florida-27,{\color{Red} Salazar (R)},0.6743538335888449,0.15192,0.84808
Georgia-01,{\color{Red} Carter (R)},0.9999999524840468,0.99862,0.00138
Georgia-02,{\color{Blue} Bishop (D)},1.0,0.0001,0.9998999999999999
Georgia-03,{\color{Red} Ferguson (R)},0.9999999999999847,0.99996,4e-05
Georgia-04,{\color{Blue} Johnson (D)},1.0,0.0,1.0
Georgia-05,{\color{Blue} Lewis (D)},1.0,,1.0
Georgia-06,{\color{Red} Handel (R)},0.9893134808853697,0.50684,0.49315999999999993
Georgia-07,{\color{Red} Woodall (R)},0.8396908988617837,0.84122,0.15878
Georgia-08,{\color{Red} Scott (R)},1.0,1.0,
Georgia-09,{\color{Red} Collins (R)},1.0,1.0,0.0
Georgia-10,{\color{Red} Hice (R)},0.9999999999973206,0.9998999999999999,0.0001
Georgia-11,{\color{Red} Loudermilk (R)},1.0,0.9997799999999999,0.00022000000000000003
Georgia-12,{\color{Red} Allen (R)},0.9999654825498616,0.98832,0.01168
Georgia-13,{\color{Blue} Scott (D)},1.0,0.0,1.0
Georgia-14,{\color{Red} Graves (R)},1.0,1.0,0.0
Hawaii-01,{\color{Blue} Case (D)},1.0,0.0,1.0
Hawaii-02,{\color{Blue} Gabbard (D)},1.0,0.0,1.0
Idaho-01,{\color{Red} Fulcher (R)},1.0,0.99442,0.005579999999999999
Idaho-02,{\color{Red} Simpson (R)},1.0,0.99914,0.00086
Illinois-01,{\color{Blue} Rush (D)},1.0,0.0,0.9999800000000001
Illinois-02,{\color{Blue} Kelly (D)},1.0,0.0,1.0
Illinois-03,{\color{Blue} Lipinski (D)},0.990600816635946,0.0001,0.9998999999999999
Illinois-04,{\color{Blue} Garcia (D)},0.9999112958805344,0.0,1.0
Illinois-05,{\color{Blue} Quigley (D)},0.9999995657268961,0.0,1.0
Illinois-06,{\color{Blue} Casten (D)},0.8652031504917622,0.52258,0.47742000000000007
Illinois-07,{\color{Blue} Davis (D)},1.0,0.0,1.0
Illinois-08,{\color{Blue} Krishnamoorthi (D)},1.0,6e-05,0.99994
Illinois-09,{\color{Blue} Schakowsky (D)},0.9999999999431906,0.0,1.0
Illinois-10,{\color{Blue} Schneider (D)},0.9999999999938,0.00016,0.99984
Illinois-11,{\color{Blue} Foster (D)},1.0,6e-05,0.99994
Illinois-12,{\color{Red} Bost (R)},0.9868426642419936,0.72678,0.2732
Illinois-13,{\color{Red} Davis (R)},0.8622847018218947,0.7243200000000001,0.27568
Illinois-14,{\color{Blue} Underwood (D)},0.5364838495423226,0.31152,0.68848
Illinois-15,{\color{Red} Shimkus (R)},0.9999868687739965,0.99996,4e-05
Illinois-16,{\color{Red} Kinzinger (R)},0.9992479877075016,0.9911999999999999,0.0088
Illinois-17,{\color{Blue} Bustos (D)},0.9999996754410398,0.00042,0.99958
Illinois-18,{\color{Red} LaHood (R)},0.9999421108848322,0.9998999999999999,0.0001
Indiana-01,{\color{Blue} Visclosky (D)},0.9985861960628619,0.0,1.0
Indiana-02,{\color{Red} Walorski (R)},0.9999985988288607,0.96042,0.03958
Indiana-03,{\color{Red} Banks (R)},0.9999987172142677,0.99774,0.00226
Indiana-04,{\color{Red} Baird (R)},0.9944900795801657,0.99836,0.00164
Indiana-05,{\color{Red} Brooks (R)},0.9997321432905283,0.96232,0.03768
Indiana-06,{\color{Red} Pence (R)},0.9999999997241574,0.99956,0.00044000000000000007
Indiana-07,{\color{Blue} Carson (D)},1.0,4e-05,0.99996
Indiana-08,{\color{Red} Bucshon (R)},0.9999650313776667,0.99696,0.0030399999999999997
Indiana-09,{\color{Red} Hollingsworth (R)},0.999971623201213,0.8336200000000001,0.16638000000000003
Iowa-01,{\color{Red} Blum (R)},0.9879913453359123,0.04401999999999999,0.9559799999999999
Iowa-02,{\color{Blue} Loebsack (D)},0.9999994558347209,0.01072,0.9892800000000002
Iowa-03,{\color{Blue} Axne (D)},0.7398489015434342,0.30394,0.6960599999999999
Iowa-04,{\color{Red} King (R)},0.9999924170354795,0.85206,0.14794
Kansas-01,{\color{Red} Marshall (R)},0.999999999761716,0.9986,0.0013999999999999998
Kansas-02,{\color{Red} Watkins (R)},0.9994286796618795,0.3794600000000001,0.62048
Kansas-03,{\color{Blue} Davids (D)},0.8015718650594665,0.15238,0.8476
Kansas-04,{\color{Red} Estes (R)},0.9999441380541672,0.99318,0.00682
Kentucky-01,{\color{Red} Comer (R)},0.9999999992065431,0.9998999999999999,0.0001
Kentucky-02,{\color{Red} Guthrie (R)},0.9999999999999295,0.99928,0.00072
Kentucky-03,{\color{Blue} Yarmuth (D)},0.9999945603952424,0.0015,0.9985
Kentucky-04,{\color{Red} Massie (R)},0.9999999999996988,0.9997,0.0003
Kentucky-05,{\color{Red} Rogers (R)},0.9999999989802714,1.0,0.0
Kentucky-06,{\color{Red} Barr (R)},0.9999999442277248,0.54498,0.45502
Louisiana-01,{\color{Red} Scalise (R)},0.9999999999999939,1.0,0.0
Louisiana-02,{\color{Blue} Richmond (D)},1.0,,1.0
Louisiana-03,{\color{Red} Guillory (R)},1.0,0.0032600000000000003,2e-05
Louisiana-04,{\color{Red} Johnson (R)},0.9998854990722731,0.99942,0.00054
Louisiana-05,{\color{Red} Abraham (R)},0.9999999999995937,0.99982,0.00018
Louisiana-06,{\color{Red} Graves (R)},0.9999999999217102,0.9998599999999999,0.0
Maine-01,{\color{Blue} Pingree (D)},1.0,0.00032,0.99966
Maine-02,{\color{Red} Poliquin (R)},0.8888382764122138,0.37006,0.62994
Maryland-01,{\color{Red} Harris (R)},0.9998006335631306,0.9905000000000002,0.0095
Maryland-02,{\color{Blue} Ruppersberger (D)},0.9999999999999628,6e-05,0.99994
Maryland-03,{\color{Blue} Sarbanes (D)},1.0,6e-05,0.99994
Maryland-04,{\color{Blue} Brown (D)},1.0,0.0,1.0
Maryland-05,{\color{Blue} Hoyer (D)},1.0,0.0,1.0
Maryland-06,{\color{Blue} Trone (D)},0.9999330219701221,0.0051400000000000005,0.9948599999999999
Maryland-07,{\color{Blue} Cummings (D)},1.0,0.0,1.0
Maryland-08,{\color{Blue} Raskin (D)},1.0,0.0,1.0
Massachusetts-01,{\color{Blue} Neal (D)},1.0,,1.0
Massachusetts-02,{\color{Blue} McGovern (D)},0.999999999989709,4e-05,0.99996
Massachusetts-03,{\color{Blue} Trahan (D)},0.999991072645396,0.0004,0.9996
Massachusetts-04,{\color{Blue} Kennedy (D)},1.0,,1.0
Massachusetts-05,{\color{Blue} Clark (D)},1.0,0.0,1.0
Massachusetts-06,{\color{Blue} Moulton (D)},0.9999999999626143,8e-05,0.99992
Massachusetts-07,{\color{Blue} Pressley (D)},1.0,,1.0
Massachusetts-08,{\color{Blue} Lynch (D)},1.0,,1.0
Massachusetts-09,{\color{Blue} Keating (D)},0.9999521364133208,0.00274,0.99726
Michigan-01,{\color{Red} Bergman (R)},0.9999935940913861,0.92568,0.07432
Michigan-02,{\color{Red} Huizenga (R)},0.991596518369487,0.93978,0.06022
Michigan-03,{\color{Red} Amash (R)},0.9937800167375536,0.98146,0.01854
Michigan-04,{\color{Red} Moolenaar (R)},0.999999999638374,0.99858,0.0014200000000000003
Michigan-05,{\color{Blue} Kildee (D)},0.9998637602092213,0.00034,0.99966
Michigan-06,{\color{Red} Upton (R)},0.9286892657339096,0.77378,0.22622
Michigan-07,{\color{Red} Walberg (R)},0.9997200898876821,0.58748,0.41252
Michigan-08,{\color{Red} Bishop (R)},0.7904225586191093,0.32838,0.6716
Michigan-09,{\color{Blue} Levin (D)},0.8997671550235985,0.00342,0.99658
Michigan-10,{\color{Red} Mitchell (R)},0.9999999999565646,0.99882,0.00118
Michigan-11,{\color{Blue} Stevens (D)},0.8728335873390722,0.20630000000000004,0.7936999999999999
Michigan-12,{\color{Blue} Dingell (D)},0.9999930626196757,2e-05,0.9999800000000001
Michigan-13,{\color{Blue} Tlaib (D)},1.0,,1.0
Michigan-14,{\color{Blue} Lawrence (D)},1.0,0.0,1.0
Minnesota-01,{\color{Red} Hagedorn (R)},0.9984241590526237,0.45316,0.54684
Minnesota-02,{\color{Red} Lewis (R)},0.838570014674189,0.13606,0.86394
Minnesota-03,{\color{Blue} Phillips (D)},0.9963032862679024,0.15486,0.84514
Minnesota-04,{\color{Blue} McCollum (D)},1.0,4e-05,0.99996
Minnesota-05,{\color{Blue} Omar (D)},0.9999990682823545,0.0,1.0
Minnesota-06,{\color{Red} Emmer (R)},0.9999742990343435,0.99894,0.00106
Minnesota-07,{\color{Blue} Peterson (D)},0.996419916958446,0.06702,0.93298
Minnesota-08,{\color{Red} Stauber (R)},0.9466670286035438,0.81128,0.1887
Mississippi-01,{\color{Red} Kelly (R)},1.0,0.99954,0.00046
Mississippi-02,{\color{Blue} Thompson (D)},1.0,,1.0
Mississippi-03,{\color{Red} Guest (R)},0.9999874182965701,0.99682,0.00318
Mississippi-04,{\color{Red} Palazzo (R)},1.0,0.99604,0.00396
Missouri-01,{\color{Blue} Clay (D)},1.0,0.0,1.0
Missouri-02,{\color{Red} Wagner (R)},0.9999999999999973,0.8421600000000001,0.15784
Missouri-03,{\color{Red} Luetkemeyer (R)},1.0,0.99994,6e-05
Missouri-04,{\color{Red} Hartzler (R)},0.9999999999998346,0.99936,0.00064
Missouri-05,{\color{Blue} Cleaver (D)},1.0,0.00046,0.99954
Missouri-06,{\color{Red} Graves (R)},1.0,0.9997,0.0003
Missouri-07,{\color{Red} Long (R)},1.0,0.99992,8e-05
Missouri-08,{\color{Red} Smith (R)},1.0,0.99996,4e-05
Montana-00,{\color{Red} Gianforte (R)},0.9999999999976409,0.75808,0.24192
Nebraska-01,{\color{Red} Fortenberry (R)},0.9999999999999319,0.99772,0.00228
Nebraska-02,{\color{Red} Bacon (R)},0.9999999950709111,0.58336,0.41664
Nebraska-03,{\color{Red} Smith (R)},0.999999914764253,0.99996,4e-05
Nevada-01,{\color{Blue} Titus (D)},1.0,8e-05,0.99992
Nevada-02,{\color{Red} Amodei (R)},0.9997985172853867,0.99772,0.00228
Nevada-03,{\color{Blue} Lee (D)},0.9911604791982905,0.11936,0.88064
Nevada-04,{\color{Blue} Horsford (D)},0.9634984842292899,0.12301999999999999,0.87698
New Hampshire-01,{\color{Red} Edwards (R)},0.9999971525272575,0.10866000000000002,0.89132
New Hampshire-02,{\color{Blue} Kuster (D)},0.8994573870686413,0.0034799999999999996,0.99652
New Jersey-01,{\color{Blue} Norcross (D)},0.9999999967465715,4e-05,0.99996
New Jersey-02,{\color{Blue} Van Drew (D)},0.9998475441215584,0.02084,0.9791599999999999
New Jersey-03,{\color{Blue} Kim (D)},0.6172526721710885,0.45382,0.54618
New Jersey-04,{\color{Red} Smith (R)},0.9996525251685688,0.92938,0.07062
New Jersey-05,{\color{Blue} Gottheimer (D)},0.9999999999953204,0.01326,0.98674
New Jersey-06,{\color{Blue} Pallone (D)},1.0,0.00012,0.99988
New Jersey-07,{\color{Blue} Malinowski (D)},0.5279807624770615,0.22106,0.77894
New Jersey-08,{\color{Blue} Sires (D)},1.0,0.0,1.0
New Jersey-09,{\color{Blue} Pascrell (D)},1.0,0.0,1.0
New Jersey-10,{\color{Blue} Payne (D)},1.0,0.0,1.0
New Jersey-11,{\color{Blue} Sherrill (D)},0.9990463913350476,0.1483,0.8517
New Jersey-12,{\color{Blue} Coleman (D)},1.0,0.0,1.0
New Mexico-01,{\color{Blue} Haaland (D)},0.9999999997377439,0.021260000000000005,0.97872
New Mexico-02,{\color{Red} Herrell (R)},0.7308817869829278,0.55786,0.44214
New Mexico-03,{\color{Blue} Lujan (D)},1.0,0.00048,0.99952
New York-01,{\color{Red} Zeldin (R)},0.9999872527251457,0.93458,0.0654
New York-02,{\color{Red} King (R)},0.5503417721888658,0.72926,0.27074
New York-03,{\color{Blue} Suozzi (D)},0.9999999997772733,0.00318,0.99682
New York-04,{\color{Blue} Rice (D)},1.0,0.00042,0.99958
New York-05,{\color{Blue} Meeks (D)},1.0,,1.0
New York-06,{\color{Blue} Meng (D)},1.0,,0.9998999999999999
New York-07,{\color{Blue} Velázquez (D)},1.0,,1.0
New York-08,{\color{Blue} Jeffries (D)},1.0,,1.0
New York-09,{\color{Blue} Clarke (D)},1.0,0.0,1.0
New York-10,{\color{Blue} Nadler (D)},1.0,0.0,1.0
New York-11,{\color{Red} Donovan (R)},0.763834454056147,0.7644,0.23559999999999998
New York-12,{\color{Blue} Maloney (D)},1.0,0.0,1.0
New York-13,{\color{Blue} Espaillat (D)},1.0,0.0,1.0
New York-14,{\color{Blue} Ocasio-Cortez (D)},1.0,0.0,1.0
New York-15,{\color{Blue} Serrano (D)},1.0,0.0,1.0
New York-16,{\color{Blue} Engel (D)},1.0,,1.0
New York-17,{\color{Blue} Lowey (D)},1.0,,0.99994
New York-18,{\color{Blue} Maloney (D)},0.9999999999996836,0.00758,0.9924199999999999
New York-19,{\color{Red} Faso (R)},0.9469072700418029,0.38998,0.61002
New York-20,{\color{Blue} Tonko (D)},0.9999999999999625,2e-05,0.9999800000000001
New York-21,{\color{Red} Stefanik (R)},0.9999999516214362,0.8935600000000001,0.10644
New York-22,{\color{Red} Tenney (R)},0.999980844071515,0.48002,0.51998
New York-23,{\color{Red} Reed (R)},0.9886580650407761,0.83024,0.16976
New York-24,{\color{Red} Katko (R)},0.9156738317462636,0.8210599999999999,0.17894
New York-25,{\color{Blue} Morelle (D)},0.9916577140018563,0.00996,0.99004
New York-26,{\color{Blue} Higgins (D)},1.0,0.0,1.0
New York-27,{\color{Red} Collins (R)},0.9999909332907555,0.7583199999999999,0.24168
North Carolina-01,{\color{Blue} Butterfield (D)},1.0,2e-05,0.9999800000000001
North Carolina-02,{\color{Red} Holding (R)},0.9123124744707216,0.8479399999999999,0.15206
North Carolina-03,{\color{Red} Jones (R)},1.0,1.0,
North Carolina-04,{\color{Blue} Price (D)},1.0,2e-05,0.9999800000000001
North Carolina-05,{\color{Red} Foxx (R)},0.9999989529822761,0.96016,0.03984
North Carolina-06,{\color{Red} Walker (R)},0.6334716727582905,0.87056,0.12944
North Carolina-07,{\color{Red} Rouzer (R)},0.7828218881897885,0.81766,0.18234000000000003
North Carolina-08,{\color{Red} Hudson (R)},0.9633047574799563,0.87714,0.12286
North Carolina-09,{\color{Blue} McCready (D)},0.9749122025091715,0.5302,0.4697799999999999
North Carolina-10,{\color{Red} McHenry (R)},0.9987554449885169,0.9982799999999998,0.00172
North Carolina-11,{\color{Red} Meadows (R)},0.9999999999998758,0.99728,0.0027
North Carolina-12,{\color{Blue} Adams (D)},1.0,0.0,1.0
North Carolina-13,{\color{Red} Budd (R)},0.9943095877747145,0.61318,0.38682
North Dakota-00,{\color{Red} Armstrong (R)},1.0,0.99886,0.00112
Ohio-01,{\color{Red} Chabot (R)},0.7403192266269002,0.79962,0.20036
Ohio-02,{\color{Red} Wenstrup (R)},0.9999997494166516,0.97572,0.02426
Ohio-03,{\color{Blue} Beatty (D)},1.0,0.0,1.0
Ohio-04,{\color{Red} Jordan (R)},0.9999204520934819,0.99056,0.00944
Ohio-05,{\color{Red} Latta (R)},0.9987638995557686,0.9985199999999999,0.00148
Ohio-06,{\color{Red} Johnson (R)},0.9999998303862648,0.99992,8e-05
Ohio-07,{\color{Red} Gibbs (R)},0.9999867177708313,0.9633800000000001,0.03662
Ohio-08,{\color{Red} Davidson (R)},0.9999066236559897,0.99972,0.00028
Ohio-09,{\color{Blue} Kaptur (D)},0.9999999999999747,0.0,1.0
Ohio-10,{\color{Red} Turner (R)},0.7940978563807073,0.9019400000000001,0.09806
Ohio-11,{\color{Blue} Fudge (D)},1.0,0.0,1.0
Ohio-12,{\color{Red} Balderson (R)},0.9840005592944334,0.65494,0.34504000000000007
Ohio-13,{\color{Blue} Ryan (D)},0.9999915921603528,6e-05,0.99994
Ohio-14,{\color{Red} Joyce (R)},0.9953693680147506,0.84632,0.15368
Ohio-15,{\color{Red} Stivers (R)},0.9995777596261506,0.97914,0.02086
Ohio-16,{\color{Red} Gonzalez (R)},0.9971016723863376,0.91692,0.08308
Oklahoma-01,{\color{Red} Hern (R)},0.9999999999998391,0.99838,0.0016199999999999997
Oklahoma-02,{\color{Red} Mullin (R)},1.0,0.99808,0.00192
Oklahoma-03,{\color{Red} Lucas (R)},1.0,0.99996,4e-05
Oklahoma-04,{\color{Red} Cole (R)},1.0,0.9999800000000001,2e-05
Oklahoma-05,{\color{Red} Russell (R)},0.9999999999785933,0.8636,0.1364
Oregon-01,{\color{Blue} Bonamici (D)},0.999999999999797,8e-05,0.99992
Oregon-02,{\color{Red} Walden (R)},0.9999999999980356,0.99012,0.00988
Oregon-03,{\color{Blue} Blumenauer (D)},1.0,0.0,1.0
Oregon-04,{\color{Blue} DeFazio (D)},0.9999999949430647,0.00468,0.99532
Oregon-05,{\color{Blue} Schrader (D)},0.9999999988016397,0.14488,0.85512
Pennsylvania-01,{\color{Blue} Wallace (D)},0.999999999974512,0.57356,0.42644
Pennsylvania-02,{\color{Blue} Boyle (D)},1.0,0.0,1.0
Pennsylvania-03,{\color{Blue} Evans (D)},0.9289114867218277,0.0,1.0
Pennsylvania-04,{\color{Red} David (R)},0.9977675951425657,0.00098,0.99902
Pennsylvania-05,{\color{Red} Kim (R)},0.8269465128657116,8e-05,0.99992
Pennsylvania-06,{\color{Blue} Houlahan (D)},0.6856438612309145,0.00834,0.99166
Pennsylvania-07,{\color{Red} Nothstein (R)},0.7258968600206146,0.049,0.9509799999999999
Pennsylvania-08,{\color{Blue} Cartwright (D)},0.9999864662537475,0.0372,0.9628
Pennsylvania-09,{\color{Red} Meuser (R)},0.999965048279741,0.99822,0.00178
Pennsylvania-10,{\color{Red} Perry (R)},0.9997603128375571,0.67824,0.32176000000000005
Pennsylvania-11,{\color{Red} Smucker (R)},0.9647717652640191,0.93274,0.06726
Pennsylvania-12,{\color{Red} Marino (R)},0.9999999999992861,0.9997399999999999,0.00026
Pennsylvania-13,{\color{Blue} Ottaway (D)},0.9999954324942535,0.9996199999999998,0.00037999999999999997
Pennsylvania-14,{\color{Blue} Boerio (D)},0.9999995263549349,0.99298,0.007020000000000001
Pennsylvania-15,{\color{Red} Thompson (R)},0.9977798197899914,0.99996,4e-05
Pennsylvania-16,{\color{Red} Kelly (R)},0.9999296791454423,0.87528,0.12472
Pennsylvania-17,{\color{Blue} Lamb (D)},0.8496926852646014,0.04284000000000001,0.9571600000000001
Pennsylvania-18,{\color{Blue} Doyle (D)},1.0,,1.0
Rhode Island-01,{\color{Blue} Cicilline (D)},1.0,2e-05,0.9999800000000001
Rhode Island-02,{\color{Blue} Langevin (D)},0.9999999999986328,0.0001,0.9998999999999999
South Carolina-01,{\color{Red} Arrington (R)},0.979473210749998,0.91286,0.08713999999999998
South Carolina-02,{\color{Red} Wilson (R)},0.9999982331629004,0.9935,0.006479999999999999
South Carolina-03,{\color{Red} Duncan (R)},0.9999999707696282,0.99956,0.00044000000000000007
